epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6171,2.27845,3.61463,1.98166,0.00247,0.74194,0.46698,0.30475,1.61137,3.42925,1.51289,0.00026,0.00026,0.00026
2,130.155,1.68822,2.81851,1.55152,0.00258,0.77419,0.46237,0.2721,1.75729,3.49944,1.58716,0.000529308,0.000529308,0.000529308
3,192.416,1.49284,2.43432,1.38613,0.00269,0.80645,0.47197,0.24608,1.79519,3.51705,1.7426,0.000787528,0.000787528,0.000787528
